2024-01-13 15:32:28.7814|Program|DEBUG|Program initialisation | 
2024-01-13 15:32:28.7814|Microsoft.Extensions.Hosting.Internal.Host|DEBUG|Hosting starting | 
2024-01-13 15:32:28.8124|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|INFO|User profile is available. Using 'C:\Users\Yulia\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. | 
2024-01-13 15:32:28.8238|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|DEBUG|Reading data from file 'C:\Users\Yulia\AppData\Local\ASP.NET\DataProtection-Keys\key-03f48be6-6eba-4f09-a62b-0dac1b4d7346.xml'. | 
2024-01-13 15:32:28.8238|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|DEBUG|Found key {03f48be6-6eba-4f09-a62b-0dac1b4d7346}. | 
2024-01-13 15:32:28.8325|Microsoft.AspNetCore.DataProtection.KeyManagement.DefaultKeyResolver|DEBUG|Considering key {03f48be6-6eba-4f09-a62b-0dac1b4d7346} with expiration date 2024-04-06 09:25:04Z as default key. | 
2024-01-13 15:32:28.8325|Microsoft.AspNetCore.DataProtection.TypeForwardingActivator|DEBUG|Forwarded activator type request from Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Version=7.0.0.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60 | 
2024-01-13 15:32:28.8325|Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor|DEBUG|Decrypting secret element using Windows DPAPI. | 
2024-01-13 15:32:28.8325|Microsoft.AspNetCore.DataProtection.TypeForwardingActivator|DEBUG|Forwarded activator type request from Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Version=7.0.0.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60 | 
2024-01-13 15:32:28.8325|Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.CngCbcAuthenticatedEncryptorFactory|DEBUG|Opening CNG algorithm 'AES' from provider '(null)' with chaining mode CBC. | 
2024-01-13 15:32:28.8325|Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.CngCbcAuthenticatedEncryptorFactory|DEBUG|Opening CNG algorithm 'SHA256' from provider '(null)' with HMAC. | 
2024-01-13 15:32:28.8325|Microsoft.AspNetCore.DataProtection.KeyManagement.KeyRingProvider|DEBUG|Using key {03f48be6-6eba-4f09-a62b-0dac1b4d7346} as the default key. | 
2024-01-13 15:32:28.8325|Microsoft.AspNetCore.DataProtection.Internal.DataProtectionHostedService|DEBUG|Key ring with default key {03f48be6-6eba-4f09-a62b-0dac1b4d7346} was loaded during application startup. | 
2024-01-13 15:32:28.9894|Microsoft.Hosting.Lifetime|INFO|Now listening on: https://localhost:7216 | 
